UniqueID,Variable,Component,EMS_Code,CAS_ number,Use,Media,Type,Days,Samples,Statistic,NarrativeWQG,MethodNotes,Condition,ConditionNotes,PredictedEffectLevel,Direction,Limit,LimitNotes,Units,Status,Reference,Reference Link,Overview Report Link,Technical Document Link
15,"1,2,4-Trichlorobenzene",Total,EMS_T066,(120-82-1),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,5.4,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
16,"1,3-Dichlorobenzene",Total,EMS_B026,(541-73-1),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,150,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
17,"1,4-Dichlorobenzene",Total,EMS_B025,(106-46-7),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,26,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
18,"1,4-Dichlorobenzene",Total,EMS_B025,(106-46-7),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.0311,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
19,"1,4-Dichlorobenzene",Total,EMS_B025,(106-46-7),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.091,,ug/g,Working,Washington State Department of Ecology (DoE). 2013. Sediment Management Standards.,https://fortress.wa.gov/ecy/publications/SummaryPages/1309055.html,,
20,2-Methylnaphthalene,Total,EMS_PA28,(91-57-6),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.0202,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
21,2-Methylnaphthalene,Total,EMS_PA28,(91-57-6),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.201,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
22,2-Methylnaphthalene,Total,EMS_PA28,(91-57-6),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.02,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
23,2-Methylnaphthalene,Total,EMS_PA28,(91-57-6),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.202,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
24,3-Hydroxyphenol,Total,,(108-46-3),Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,12.5,,ug/L,Interim,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/phenol-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/phenol-tech.pdf
25,3-Lodo-2-propynl butylcarbamate (IPBC),Total,EMS_IPBC,(55406-53-6),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1.9,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
26,4-Hydroxyphenol,Total,,(123-31-9),Aquatic Life - Freshwater,Water,Short-term acute,1,1,max,,,,,No Effect,Upper Limit,4.5,,ug/L,Interim,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/phenol-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/phenol-tech.pdf
27,Acenaphthene,Total,EMS_PA01,(83-32-9),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.00671,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
28,Acenaphthene,Total,EMS_PA01,(83-32-9),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.0889,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
29,Acenaphthene,Total,EMS_PA01,(83-32-9),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,6,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
30,Acenaphthene,Total,EMS_PA01,(83-32-9),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.00671,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
31,Acenaphthene,Total,EMS_PA01,(83-32-9),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.0889,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
32,Acenaphthene,Total,EMS_PA01,(83-32-9),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,6,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
33,Acenaphthylene,Total,EMS_PA02,(208-96-8),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.00587,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
34,Acenaphthylene,Total,EMS_PA02,(208-96-8),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.128,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
35,Acenaphthylene,Total,EMS_PA02,(208-96-8),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,No Effect,Upper Limit,0.00587,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
36,Acenaphthylene,Total,EMS_PA02,(208-96-8),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.128,,ug/g,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
37,Acridine,Total,EMS_PA18,(260-94-6),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,For use under non-phototoxic conditions.,No Effect,Upper Limit,3,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
38,Acridine,Total,EMS_PA18,(260-94-6),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,For use under phototoxic conditions.,No Effect,Upper Limit,0.05,,ug/L,Approved,B.C. Ministry of Environment and Climate Change Strategy,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-or.pdf,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/pahs/pahs-tech.pdf
39,Acrolein,Total,,(107-02-8),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1.14,,ug/L,Working,"US Environmental Protection Agency. 2009. Ambient aquatic life water quality criteria for acrolein (CAS registry no. 107-02-8). Washington, DC (US): EPA Office of Science and Technology, Health and Ecological Criteria Division. 49 p.",,,
40,Alcohol ethoxylated sulphate (AES),Total,,(Various Compounds),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,340,,ug/L,Working,"Australia and New Zealand Environment and Conservation Council (ANZECC). 2000a. Australian and New Zealand guidelines for fresh and marine water quality, 2000. Volume 1, October 2000. National Water Quality Management Strategy, Paper No. 4. Canberra, AU: Australian and New Zealand Environment and Conservation. 314p.",http://www.waterquality.gov.au/anz-guidelines/resources/previous-guidelines/anzecc-armcanz-2000,,
41,Alcohol ethoxylated surfactants (AE),Total,,(Various Compounds),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,50,,ug/L,Working,"Australia and New Zealand Environment and Conservation Council (ANZECC). 2000a. Australian and New Zealand guidelines for fresh and marine water quality, 2000. Volume 1, October 2000. National Water Quality Management Strategy, Paper No. 4. Canberra, AU: Australian and New Zealand Environment and Conservation. 314p.",http://www.waterquality.gov.au/anz-guidelines/resources/previous-guidelines/anzecc-armcanz-2000,,
42,Aldicarb,Total,EMS_A003,(116-06-3),Agriculture - Irrigation,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,54.9,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
43,Aldicarb,Total,EMS_A003,(116-06-3),Agriculture - Livestock,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,11,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
44,Aldicarb,Total,EMS_A003,(116-06-3),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,1,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
45,Aldicarb,Total,EMS_A003,(116-06-3),Aquatic Life - Marine,Water,Long-term chronic,30,5,mean,,,,,No Effect,Upper Limit,0.15,,ug/L,Working,Canadian Council of Ministers of the Environment (CCME),http://st-ts.ccme.ca/en/index.html,,
46,Aldrin,Total,EMS_A002,(309-00-2),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,Effect level based on screening level concentration.,,,No Effect,Upper Limit,0.0021,,ug/g,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for PCBs and the Organochlorine Pesticides. Water Resources Branch, Ontario Ministry of the Environment.",,,
47,Aldrin,Total,EMS_A002,(309-00-2),Aquatic Life - Freshwater,Sediment,Long-term chronic,1,1,max,,,,,Probable Effect,Upper Limit,0.081,,ug/g,Working,"Jaagumagi, R. 1993. Development of the Ontario Provincial Sediment Quality Guidelines for PCBs and the Organochlorine Pesticides. Water Resources Branch, Ontario Ministry of the Environment.",,,
48,Aldrin,Total,EMS_A002,(309-00-2),Aquatic Life - Marine,Sediment,Long-term chronic,1,1,max,,Chronic marine threshold developed using equilibrium partitioning.  Long and Morgan (1990) found 0.0001 ug/g to be significantly toxic to R. abronius based on co-occurrence analysis.,,,No Effect,Upper Limit,0.005,,ug/g,Working,"Long, E. R., and Morgan, L. G. 1990. The Potential for Biological Effects of Sediment Sorbed Contaminants Tested in the National Status and Tends Program, National Oceanic and Atmospheric Administration, Seattle, Washington.",,,
49,Alkalinity ( CaCO3),Total,EMS_0102,(NA),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_CA_D  < 4,,No Effect,Upper Limit,10,,mg/L,Working,"Swain, L. G. 1987. Second report on chemical sensitivity of BC lakes to acidic inputs. Victoria, BC (CA): Water Management Branch, Ministry of Environment. 31p. Accessed on-line at https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterqu",https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/monitoring-water-quality/second_report_on_chemical_sensitivity_of_bc_lakes_to_acidic_inputs.pdf,,
50,Alkalinity ( CaCO3),Total,EMS_0102,(NA),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_CA_D  >=  4 & EMS_CA_D <= 8,,No Effect,Upper Limit,20,,mg/L,Working,"Swain, L. G. 1987. Second report on chemical sensitivity of BC lakes to acidic inputs. Victoria, BC (CA): Water Management Branch, Ministry of Environment. 31p.",https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/monitoring-water-quality/second_report_on_chemical_sensitivity_of_bc_lakes_to_acidic_inputs.pdf,,
51,Alkalinity ( CaCO3),Total,EMS_1102,(NA),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_CA_D  < 4,,No Effect,Upper Limit,10,,mg/L,Working,"Swain, L. G. 1987. Second report on chemical sensitivity of BC lakes to acidic inputs. Victoria, BC (CA): Water Management Branch, Ministry of Environment. 31p. Accessed on-line at https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterqu",https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/monitoring-water-quality/second_report_on_chemical_sensitivity_of_bc_lakes_to_acidic_inputs.pdf,,
52,Alkalinity ( CaCO3),Total,EMS_1102,(NA),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_CA_D  >=  4 & EMS_CA_D <= 8,,No Effect,Upper Limit,20,,mg/L,Working,"Swain, L. G. 1987. Second report on chemical sensitivity of BC lakes to acidic inputs. Victoria, BC (CA): Water Management Branch, Ministry of Environment. 31p.",https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/monitoring-water-quality/second_report_on_chemical_sensitivity_of_bc_lakes_to_acidic_inputs.pdf,,
53,Alkalinity ( CaCO3),Total,EMS_AK_T,(NA),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_CA_D  < 4,,No Effect,Upper Limit,10,,mg/L,Working,"Swain, L. G. 1987. Second report on chemical sensitivity of BC lakes to acidic inputs. Victoria, BC (CA): Water Management Branch, Ministry of Environment. 31p. Accessed on-line at https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterqu",https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/monitoring-water-quality/second_report_on_chemical_sensitivity_of_bc_lakes_to_acidic_inputs.pdf,,
54,Alkalinity ( CaCO3),Total,EMS_AK_T,(NA),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_CA_D  >=  4 & EMS_CA_D <= 8,,No Effect,Upper Limit,20,,mg/L,Working,"Swain, L. G. 1987. Second report on chemical sensitivity of BC lakes to acidic inputs. Victoria, BC (CA): Water Management Branch, Ministry of Environment. 31p.",https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/monitoring-water-quality/second_report_on_chemical_sensitivity_of_bc_lakes_to_acidic_inputs.pdf,,
55,Alkalinity ( CaCO3),Total,EMS_D102,(NA),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_CA_D  < 4,,No Effect,Upper Limit,10,,mg/L,Working,"Swain, L. G. 1987. Second report on chemical sensitivity of BC lakes to acidic inputs. Victoria, BC (CA): Water Management Branch, Ministry of Environment. 31p. Accessed on-line at https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterqu",https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/monitoring-water-quality/second_report_on_chemical_sensitivity_of_bc_lakes_to_acidic_inputs.pdf,,
56,Alkalinity ( CaCO3),Total,EMS_D102,(NA),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_CA_D  >=  4 & EMS_CA_D <= 8,,No Effect,Upper Limit,20,,mg/L,Working,"Swain, L. G. 1987. Second report on chemical sensitivity of BC lakes to acidic inputs. Victoria, BC (CA): Water Management Branch, Ministry of Environment. 31p.",https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/monitoring-water-quality/second_report_on_chemical_sensitivity_of_bc_lakes_to_acidic_inputs.pdf,,
57,Aluminum,Total,EMS_AL_T,(7429-90-5),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_0107 >= 10 & EMS_0107 <= 430 & EMS_0004 >= 6 & EMS_0004 <= 8.7 & EMS_1103 >= 0.08 & EMS_1103 <= 12.3,,No Effect,Upper Limit,"exp((2.255*(log(EMS_0107, exp(1))))+(1.995*EMS_0004)+(0.645*log(EMS_1103, exp(1)))+(-0.284*(log(EMS_0107,exp(1))*EMS_0004))-9.898)/3",,ug/L,Approved,"B.C. Ministry of Water, Land and Resource Stewardship",,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum/bc_aluminum_water_quality_guidelines_-_aquatic_life.pdf
58,Aluminum,Total,EMS_AL_T,(7429-90-5),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_0107 < 10 & EMS_0004 < 6 & EMS_1103 < 0.08,"The long-term chronic WQG is valid between hardness 10 and 430 mg/L, pH 6 and 8.7, and DOC 0.08 and 12.3 mg/L. For the water chemistry measurements that are outside the water chemistry ranges please refer to the B.C. Aluminum Water Quality Guidelines - Freshwater Aquatic Life.",No Effect,Upper Limit,"exp((2.255*(log(10, exp(1))))+(1.995*6)+(0.645*log(0.08, exp(1)))+(-0.284*(log(10,exp(1))*6))-9.898)/3",,ug/L,Approved,"B.C. Ministry of Water, Land and Resource Stewardship",,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum/bc_aluminum_water_quality_guidelines_-_aquatic_life.pdf
59,Aluminum,Total,EMS_AL_T,(7429-90-5),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_0107 < 10 & EMS_0004 < 6 & EMS_1103 >= 0.08 & EMS_1103 <= 12.3,"The long-term chronic WQG is valid between hardness 10 and 430 mg/L, pH 6 and 8.7, and DOC 0.08 and 12.3 mg/L. For the water chemistry measurements that are outside the water chemistry ranges please refer to the B.C. Aluminum Water Quality Guidelines - Freshwater Aquatic Life.",No Effect,Upper Limit,"exp((2.255*(log(10, exp(1))))+(1.995*6)+(0.645*log(EMS_1103, exp(1)))+(-0.284*(log(10,exp(1))*6))-9.898)/3",,ug/L,Approved,"B.C. Ministry of Water, Land and Resource Stewardship",,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum/bc_aluminum_water_quality_guidelines_-_aquatic_life.pdf
60,Aluminum,Total,EMS_AL_T,(7429-90-5),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_0107 < 10 & EMS_0004 < 6 & EMS_1103 > 12.3,"The long-term chronic WQG is valid between hardness 10 and 430 mg/L, pH 6 and 8.7, and DOC 0.08 and 12.3 mg/L. For the water chemistry measurements that are outside the water chemistry ranges please refer to the B.C. Aluminum Water Quality Guidelines - Freshwater Aquatic Life.",No Effect,Upper Limit,"exp((2.255*(log(10, exp(1))))+(1.995*6)+(0.645*log(12.3, exp(1)))+(-0.284*(log(10,exp(1))*6))-9.898)/3",,ug/L,Approved,"B.C. Ministry of Water, Land and Resource Stewardship",,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum/bc_aluminum_water_quality_guidelines_-_aquatic_life.pdf
61,Aluminum,Total,EMS_AL_T,(7429-90-5),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_0107 < 10 & EMS_0004 >= 6 & EMS_0004 <= 8.7 & EMS_1103 <0.08,"The long-term chronic WQG is valid between hardness 10 and 430 mg/L, pH 6 and 8.7, and DOC 0.08 and 12.3 mg/L. For the water chemistry measurements that are outside the water chemistry ranges please refer to the B.C. Aluminum Water Quality Guidelines - Freshwater Aquatic Life.",No Effect,Upper Limit,"exp((2.255*(log(10, exp(1))))+(1.995*EMS_0004)+(0.645*log(0.08, exp(1)))+(-0.284*(log(10,exp(1))*EMS_0004))-9.898)/3",,ug/L,Approved,"B.C. Ministry of Water, Land and Resource Stewardship",,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum/bc_aluminum_water_quality_guidelines_-_aquatic_life.pdf
62,Aluminum,Total,EMS_AL_T,(7429-90-5),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_0107 < 10 & EMS_0004 >= 6 & EMS_0004 <= 8.7 & EMS_1103 >= 0.08 & EMS_1103 <= 12.3,"The long-term chronic WQG is valid between hardness 10 and 430 mg/L, pH 6 and 8.7, and DOC 0.08 and 12.3 mg/L. For the water chemistry measurements that are outside the water chemistry ranges please refer to the B.C. Aluminum Water Quality Guidelines - Freshwater Aquatic Life.",No Effect,Upper Limit,"exp((2.255*(log(10, exp(1))))+(1.995*EMS_0004)+(0.645*log(EMS_1103, exp(1)))+(-0.284*(log(10,exp(1))*EMS_0004))-9.898)/3",,ug/L,Approved,"B.C. Ministry of Water, Land and Resource Stewardship",,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum/bc_aluminum_water_quality_guidelines_-_aquatic_life.pdf
63,Aluminum,Total,EMS_AL_T,(7429-90-5),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_0107 < 10 & EMS_0004 >= 6 & EMS_0004 <= 8.7 & EMS_1103 >12.3,"The long-term chronic WQG is valid between hardness 10 and 430 mg/L, pH 6 and 8.7, and DOC 0.08 and 12.3 mg/L. For the water chemistry measurements that are outside the water chemistry ranges please refer to the B.C. Aluminum Water Quality Guidelines - Freshwater Aquatic Life.",No Effect,Upper Limit,"exp((2.255*(log(10, exp(1))))+(1.995*EMS_0004)+(0.645*log(12.3, exp(1)))+(-0.284*(log(10,exp(1))*EMS_0004))-9.898)/3",,ug/L,Approved,"B.C. Ministry of Water, Land and Resource Stewardship",,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum/bc_aluminum_water_quality_guidelines_-_aquatic_life.pdf
64,Aluminum,Total,EMS_AL_T,(7429-90-5),Aquatic Life - Freshwater,Water,Long-term chronic,30,5,mean,,,EMS_0107 < 10 & EMS_0004 > 8.7 & EMS_1103 < 0.08,"The long-term chronic WQG is valid between hardness 10 and 430 mg/L, pH 6 and 8.7, and DOC 0.08 and 12.3 mg/L. For the water chemistry measurements that are outside the water chemistry ranges please refer to the B.C. Aluminum Water Quality Guidelines - Freshwater Aquatic Life.",No Effect,Upper Limit,"exp((2.255*(log(10, exp(1))))+(1.995*8.7)+(0.645*log(0.08, exp(1)))+(-0.284*(log(10,exp(1))*8.7))-9.898)/3",,ug/L,Approved,"B.C. Ministry of Water, Land and Resource Stewardship",,,https://www2.gov.bc.ca/assets/gov/environment/air-land-water/water/waterquality/water-quality-guidelines/approved-wqgs/aluminum/bc_aluminum_water_quality_guidelines_-_aquatic_life.pdf
